0,7.402,46600
1,5.217,34700
2,5.112,34700
3,4.755,34700
4,4.847,34700
5,6.092,34700
6,5.132,34700
7,5.354,34700
8,5.210,34700
9,5.316,34700
10,5.047,34700
11,5.209,34700
12,5.248,34700
13,4.508,34700
14,4.559,34700
15,4.379,34700
16,4.582,34700
17,3.196,34700
18,4.759,34700
19,4.345,34700
20,4.568,34700
21,4.824,34700
22,6.501,34700
0,8.045,61200
1,5.425,43000
2,4.251,43000
3,5.694,43000
4,4.525,51800
5,4.556,57700
6,4.876,59900
7,4.699,30100
8,4.859,18400
9,4.614,17600
10,1.162,16900
11,0.788,15600
12,0.790,16700
13,0.814,15000
14,0.834,14900
15,0.793,17300
16,0.897,22900
17,0.882,21100
18,0.889,18000
19,0.936,19200
20,0.892,18000
21,0.952,20200
22,0.906,22400
23,1.031,39900
24,0.963,20300
25,1.020,18500
26,1.033,13500
27,1.018,16900
28,1.195,33000
29,1.304,32800
30,1.284,19900
31,1.361,22800
32,1.321,10400
33,1.305,7400
34,1.684,48200
35,1.612,24600
36,1.674,20300
37,1.629,3800
38,1.600,3800
39,1.928,44500
40,1.760,8500
41,1.795,6600
42,1.704,6500
43,1.734,6900
44,1.735,6700
45,1.703,6400
46,1.748,6300
47,1.774,6400
48,1.798,6000
0,1.058,6100
1,0.642,5000
2,0.621,5000
3,0.621,5000
4,0.992,5000
5,0.677,5000
6,0.667,5000
7,0.720,5000
8,0.750,5000
9,0.752,5000
10,6.587,751800
11,4.819,530500
0,1.437,6200
1,0.855,5000
2,0.846,5000
3,0.868,5000
4,0.889,5000
5,0.881,5000
6,0.903,5000
7,5.914,818000
0,1.442,6800
1,0.832,5400
2,0.839,5400
3,0.848,5400
4,1.242,5400
5,0.879,5400
6,0.824,5400
7,3.219,326500
8,1.815,284900
9,1.490,98600
0,1.409,8400
1,0.854,6000
2,0.886,6000
3,0.849,6000
4,0.879,7500
5,1.221,55400
6,1.021,41100
7,1.010,10700
8,0.997,10700
9,1.014,10700
10,1.016,10700
11,1.064,10700
12,0.993,10700
13,1.012,10700
14,1.060,10700
0,1.873,93600
1,1.048,25200
2,1.090,25200
3,1.089,25200
4,1.063,26200
5,1.170,24900
6,1.235,32300
7,1.224,28200
8,1.191,33500
9,1.186,37900
10,1.160,30300
11,1.142,30200
12,1.100,32700
13,1.140,31300
14,1.114,27100
15,1.138,27100
16,1.959,218100
17,2.146,236500
18,2.652,234700
19,1.469,39700
20,1.408,14200
21,2.423,223700
22,1.756,85400
23,1.502,28900
0,1.442,6800
1,0.885,5400
2,0.832,5400
3,0.871,5400
4,1.309,5400
5,0.897,5400
6,1.119,80400
7,1.394,150300
8,1.127,61300
9,1.079,47900
10,1.106,47900
11,1.167,59300
12,1.748,182300
13,1.949,210600
14,2.244,242100
15,2.887,147100
16,2.594,274400
17,2.797,311900
18,1.938,131700
19,1.985,131700
20,1.945,131700
21,1.945,131700
22,1.961,131700
0,1.450,6800
1,0.909,5400
2,0.891,5400
3,0.831,5400
4,1.179,78300
5,1.152,54100
6,1.200,37400
7,1.180,37400
8,1.211,39100
9,1.229,32800
10,1.326,41500
11,1.375,33600
12,1.414,29600
13,1.416,25200
14,1.538,40000
15,1.540,30700
16,1.596,29400
17,1.580,29400
18,1.600,29400
19,1.688,29500
20,1.747,33100
21,1.747,30300
22,1.789,33200
23,1.689,29500
