0,0.469,11200
1,0.513,9200
2,0.521,9200
3,0.635,51600
4,0.724,73200
5,0.715,53600
6,0.661,40400
7,0.665,33200
8,0.633,35600
9,0.671,48800
10,0.654,40400
11,0.659,37200
12,0.658,38000
13,0.645,38000
14,0.623,35600
15,0.619,34400
0,0.380,61642
1,0.061,61642
2,0.071,61642
3,0.116,61642
4,0.102,88400
5,0.107,115260
6,0.092,152000
7,0.149,152380
8,0.108,152380
9,0.101,152380
10,0.094,160400
11,0.097,160400
12,0.117,160801
13,0.125,160801
14,0.141,160801
15,0.118,160801
16,0.132,160801
17,0.169,160801
18,0.095,160801
19,0.139,160801
20,0.079,160801
21,0.136,160801
0,0.426,400
1,0.475,0
0,1.199,230800
1,0.720,57600
2,0.778,57600
3,0.712,57600
4,0.726,57600
5,0.723,57600
6,0.790,57600
7,0.828,57600
8,0.793,57600
9,0.767,57600
10,0.773,57600
11,0.788,57600
12,0.835,57600
13,0.831,57600
14,0.829,57600
15,0.785,57600
16,0.813,57600
17,0.779,57600
18,0.824,57600
19,0.821,57600
20,0.843,57600
0,0.349,314846
1,0.077,314846
2,0.162,314846
3,0.085,314846
4,0.085,314846
5,0.114,314846
6,0.084,314846
7,0.208,314846
8,0.076,314846
9,0.091,314846
10,0.087,314846
11,0.104,314846
12,0.112,314846
13,0.081,314846
14,0.088,314846
15,0.068,314846
16,0.079,314846
17,0.085,314846
18,0.082,314846
19,0.087,314846
20,0.097,314846
0,1.110,88560
1,0.645,16092
2,0.651,16092
3,1.511,16092
4,0.662,16092
5,0.669,16092
6,0.695,16092
7,0.648,16092
8,0.645,16092
9,0.706,16092
10,0.688,16092
0,1.082,88560
1,0.661,16092
2,0.708,16092
3,0.678,16092
4,1.201,16092
5,0.702,16092
6,0.657,16092
7,0.661,16092
8,0.677,16092
9,0.663,16092
10,0.681,16092
0,1.069,88560
1,0.662,16092
2,0.661,16092
3,0.675,16092
4,0.683,16092
5,0.683,16092
6,0.686,16092
7,0.666,16092
8,0.719,16092
9,0.707,16092
10,0.676,16092
0,0.850,100000
1,0.650,25300
2,0.671,25300
3,0.596,25300
4,0.627,25300
5,0.638,25300
6,0.629,25300
7,0.662,25300
8,0.656,25300
9,0.695,25300
10,0.631,25300
0,0.777,131600
1,0.623,44000
2,0.696,44000
3,0.644,44000
4,0.595,44000
5,0.623,44000
6,0.674,44000
7,0.645,44000
8,0.644,44000
9,0.678,44000
10,0.687,44000
