0,0.209,46100
1,0.263,55500
2,0.289,60500
3,0.612,48300
4,0.249,48300
5,0.261,48300
6,0.253,48300
7,0.251,48300
8,0.248,48300
9,0.253,48300
10,0.272,48300
11,0.344,60300
12,0.371,65100
13,0.370,63100
14,0.380,70400
15,0.197,24200
16,0.426,82300
17,0.236,33900
18,0.190,22900
19,0.186,20100
20,0.189,22600
21,0.194,22700
22,0.189,22600
23,0.191,21300
24,0.191,21800
25,0.624,131000
26,0.579,113900
27,0.549,112100
28,0.586,116800
29,0.571,115300
30,0.435,68100
31,1.502,70000
32,0.210,25100
33,0.221,24900
34,0.207,24600
35,0.242,24000
36,0.736,149000
