0,1.425,100
1,0.600,100
2,0.710,37000
3,0.677,25800
4,0.694,25800
5,0.712,25800
6,0.717,25800
7,0.733,25800
8,0.707,25800
9,0.702,25800
10,0.712,25800
11,0.699,25800
12,0.741,25800
13,1.098,53300
14,1.004,57300
15,0.992,51200
16,0.987,38300
17,1.019,26100
18,1.086,18800
19,1.092,18700
20,1.158,19300
21,1.299,19800
22,1.427,34600
23,1.499,35600
24,1.513,29400
25,1.435,22500
26,1.519,20900
27,1.083,21000
28,1.139,20000
29,1.900,18900
30,1.578,20600
31,1.798,19500
32,1.429,17900
33,1.411,17300
34,1.464,17300
35,1.491,17300
36,1.573,21900
37,1.532,26900
38,1.536,25200
39,1.524,23200
40,1.663,19800
41,1.552,22300
42,1.505,24700
43,1.509,22200
44,1.627,22200
45,1.624,26900
46,1.653,22800
47,1.599,21400
48,1.587,20900
49,1.615,21600
50,1.623,19400
51,1.629,17500
52,1.656,17300
53,1.607,16800
54,1.620,16400
55,1.608,16100
56,1.624,16100
57,1.602,15900
58,1.577,15900
59,1.669,15900
60,1.583,15900
61,1.584,17300
62,1.623,16000
63,1.573,15900
64,1.627,17000
65,1.701,17800
66,1.753,20500
67,1.855,23300
68,1.919,19000
69,2.058,16700
70,2.087,29100
71,2.049,22300
72,2.080,20400
73,2.078,19900
74,2.071,19600
75,2.061,27700
76,2.053,26700
77,2.053,26900
78,2.073,24800
79,2.136,24300
80,2.218,22900
81,2.283,21800
82,2.446,36000
83,2.334,24500
84,2.376,23700
85,2.359,23700
86,2.412,23500
87,2.314,23500
88,2.327,23500
89,2.405,23500
90,2.369,25100
91,2.387,22300
92,2.359,22300
93,2.349,22300
94,2.348,22300
95,2.422,22300
96,2.365,22300
97,2.380,22300
98,2.367,22300
99,2.364,22300
100,2.380,22300
101,2.395,22200
102,2.371,22200
103,2.427,22200
104,2.400,22200
105,2.462,22200
106,2.747,45900
107,2.801,41600
108,3.037,38500
109,3.076,46200
110,3.018,37500
111,3.034,46900
112,2.961,38800
113,2.858,28900
114,2.837,26900
115,2.851,23300
116,2.855,22600
117,2.892,22500
118,2.923,22500
119,2.869,23200
120,2.925,29600
121,2.915,26600
122,2.874,23400
123,2.897,22800
124,2.879,22800
125,2.879,22800
126,3.015,22800
127,3.019,22800
128,3.063,22800
129,2.931,22800
130,2.923,22800
131,2.907,22800
132,2.932,22800
133,2.960,22800
134,2.922,22800
135,2.970,22800
136,2.938,22800
137,2.922,22900
138,2.942,22800
139,2.919,24900
140,2.961,28800
141,2.951,26000
142,2.921,32700
143,2.972,34100
144,2.891,28100
145,2.917,29300
146,2.937,28400
147,2.918,27900
148,2.870,31500
149,2.915,22100
150,2.874,19400
151,2.874,19100
152,2.870,19100
153,2.805,18800
154,2.862,18700
155,2.840,18700
156,2.862,18700
157,2.828,18600
158,2.839,18600
159,2.808,18600
160,2.887,18600
161,2.929,19300
162,2.880,18500
163,2.866,18300
164,2.865,18300
165,2.878,18300
166,2.852,18300
167,2.813,18300
168,2.803,18300
169,2.856,18300
170,2.851,18300
171,2.860,18300
172,2.880,18300
173,2.891,18300
174,2.889,18300
175,2.895,18300
176,2.908,18300
177,2.913,18300
178,2.845,18300
179,2.864,18300
180,2.871,18300
181,2.864,18300
182,2.879,18300
183,2.863,18300
184,2.912,18200
185,2.898,18200
186,2.890,18200
187,2.927,18200
188,2.918,18200
189,2.922,18100
190,2.945,18100
191,2.925,18100
192,2.919,18100
193,2.915,18100
194,2.906,18100
195,2.900,18100
196,2.935,18100
197,2.917,18100
198,2.931,18100
199,2.995,18100
200,2.991,19800
201,2.939,17400
202,2.927,17300
203,2.948,17300
204,2.963,17300
205,2.921,17800
206,2.906,17600
207,2.921,18500
208,2.918,17600
209,3.119,29300
210,3.021,25200
211,2.988,14900
212,3.043,14100
213,2.994,14100
214,3.041,15200
215,3.007,14000
216,3.005,13900
217,3.008,13900
218,2.968,14000
219,3.005,13700
220,3.044,13700
221,2.996,13700
222,3.021,13700
223,3.046,13700
224,3.100,13700
225,3.038,13700
226,3.090,13700
227,3.057,13700
228,3.086,13700
229,3.101,13700
230,3.091,13700
231,3.051,13700
232,3.038,13900
233,3.081,14100
234,3.027,14900
235,3.065,28100
236,3.053,25800
237,3.033,21400
238,3.003,19200
239,3.011,17200
240,2.959,17800
241,3.037,20200
242,2.983,19900
243,2.985,15400
244,3.047,18300
245,2.960,16400
246,3.000,14500
247,3.005,14200
248,2.947,14200
249,2.956,13900
250,2.983,13900
251,3.026,13900
252,3.011,13900
253,2.972,13900
254,2.975,13900
255,3.101,48100
256,3.001,27000
257,3.024,24100
258,2.919,21400
259,2.893,21800
260,2.937,15000
261,2.912,14900
262,2.889,14900
263,2.916,15700
264,2.890,15400
265,2.901,22500
266,2.928,27200
267,2.919,24500
268,2.897,25200
269,2.847,15900
270,2.868,19400
271,2.855,17200
272,2.902,19900
273,2.815,16500
274,2.853,13000
275,2.888,25400
276,2.893,25900
277,2.831,28700
278,2.725,16600
279,2.757,14500
280,2.735,15200
281,2.763,13500
282,2.782,17200
283,2.747,13000
284,2.761,15200
285,2.757,13300
286,2.744,13100
287,2.774,13100
288,2.659,15100
289,2.616,14500
290,2.628,13300
291,2.597,17900
292,2.026,15600
293,1.503,12800
294,1.474,11400
295,1.503,11400
296,1.478,10500
297,1.513,10500
